iter	Passed	Remaining
0	5	497
1	10	504
2	14	474
3	18	435
4	22	422
5	25	399
6	31	424
7	34	401
8	39	395
9	42	382
10	45	368
11	48	352
12	50	338
13	52	324
14	54	308
15	56	294
16	57	280
17	58	268
18	60	256
19	61	246
20	62	236
21	64	227
22	65	219
23	66	211
24	68	204
25	69	197
26	70	191
27	72	187
28	74	181
29	75	176
30	76	171
31	78	166
32	79	161
33	80	156
34	82	152
35	83	148
36	84	144
37	85	140
38	87	136
39	88	132
40	89	129
41	90	124
42	91	121
43	92	118
44	94	115
45	95	112
46	96	109
47	98	106
48	99	103
49	100	100
50	102	98
51	103	95
52	104	92
53	106	90
54	107	87
55	108	85
56	109	82
57	110	80
58	112	77
59	113	75
60	114	73
61	115	70
62	117	68
63	118	66
64	119	64
65	121	62
66	122	60
67	123	58
68	124	56
69	126	54
70	127	52
71	128	50
72	130	48
73	131	46
74	132	44
75	133	42
76	135	40
77	136	38
78	137	36
79	139	34
80	140	32
81	141	31
82	142	29
83	144	27
84	145	25
85	146	23
86	147	22
87	149	20
88	150	18
89	151	16
90	153	15
91	154	13
92	155	11
93	157	10
94	159	8
95	161	6
96	163	5
97	164	3
98	166	1
99	167	0
